クリス・アーノルド,アーノルド,クリス
岡野久一,オカノ キュウイチ,オカノ,キュウイチ
岡野八郎,オカノ ハチロウ,オカノ,ハチロウ
岡野義光,オカノ ヨシミツ,オカノ,ヨシミツ
岡林洋一,オカバヤシ ヨウイチ,オカバヤシ,ヨウイチ
岡林飛翔,オカバヤシ ツバサ,オカバヤシ,ツバサ
岡部明一,オカベ アキヒト,オカベ,アキヒト
岡部憲章,オカベ ノリアキ,オカベ,ノリアキ
岡村孝雄,オカムラ タカオ,オカムタ,タカオ
岡村晃,オカムラ アキラ,オカムラ,アキラ
岡村浩二（岡村幸治・岡村浩司）,オカムラ コウジ,オカムラ,コウジ
岡村隆則,オカムラ タカノリ,オカムラ,タカノリ
岡村俊昭,オカムラ トシアキ,オカムラ,トシアキ
岡村信夫,オカムラ ノブオ,オカムラ,ノブオ
岡村佳典,オカムラ ヨシノリ,オカムラ,ヨシノリ
岡本晃,オカモト アキラ,オカモト,アキラ
岡本篤志,オカモト アツシ,オカモト,アツシ
岡本伊三美,オカモト イサミ,オカモト,イサミ
岡本一雄,オカモト カズオ,オカモト,カズオ
岡本和真,オカモト カズマ,オカモト,カズマ
岡本一光,オカモト カズミツ,オカモト,カズミツ
岡本克道,オカモト カツノリ,オカモト,カツノリ
岡元勝幸,オカモト カツユキ,オカモト,カツユキ
岡本教平,オカモト キョウヘイ,オカモト,キョウヘイ
岡本圭司,オカモト ケイジ,オカモト,ケイジ
岡本圭右,オカモト ケイスケ,オカモト,ケイスケ
岡本健,オカモト ケン,オカモト,ケン
岡本健一郎,オカモト ケンイチロウ,オカモト,ケンイチロウ
岡本健治,オカモト ケンジ,オカモト,ケンジ
岡本光,オカモト コウ,オカモト,コウ
岡本浩二,オカモト コウジ,オカモト,コウジ
岡本真或（岡本慎也・岡本真也）,オカモト シンヤ,オカモト,シンヤ
岡本哲司,オカモト テツジ,オカモト,テツジ
岡本透,オカモト トオル,オカモト,トオル
岡本敏男,オカモト トシオ,オカモト,トシオ
岡本利三,オカモト トシゾウ,オカモト,トシゾウ
岡本利之,オカモト トシユキ,オカモト,トシユキ
岡本直也,オカモト ナオヤ,オカモト,ナオヤ
岡本秀寛,オカモト ヒデヒロ,オカモト,ヒデヒロ
岡本三男,オカモト ミツオ,オカモト,ミツオ
岡本洋介,オカモト ヨウスケ,オカモト,ヨウスケ
岡本凱孝,オカモト ヨシタカ,オカモト,ヨシタカ
岡本芳信,オカモト ヨシノブ,オカモト,ヨシノブ
岡本龍二,オカモト リュウジ,オカモト,リュウジ
岡本直也,オカモト ナオヤ,オカモト,ナオヤ
小川祥志,オカワ ショウシ,オカワ,ショウシ
小川一夫,オガワ カズオ,オガワ,カズオ
小川邦和,オガワ クニカズ,オガワ,クニカズ
小川健太郎,オガワ ケンタロウ,オガワ,ケンタロウ
小川浩一（小川皓市）,オガワ コウイチ,オガワ,コウイチ
小川滋夫（小川滋）,オガワ シゲオ,オガワ シゲル,オガワ,シゲオ,シゲル
小川淳司,オガワ ジュンジ,オガワ,ジュンジ
小川精一,オガワ セイイチ,オガワ,セイイチ
小川達明,オガワ タツアキ,オガワ,タツアキ
小川亨,オガワ トオル,オガワ,トオル
小川敏明,オガワ トシアキ,オガワ,トシアキ
小川利雄,オガワ トシオ,オガワ,トシオ
小川年安,オガワ トシヤス,オガワ,トシヤス
小川英雄,オガワ ヒデオ,オガワ,ヒデオ
小川博（投手）,オガワ ヒロシ,オガワ,ヒロシ
小川博（内野手）,オガワ ヒロシ,オガワ,ヒロシ
小川史,オガワ ヒロシ,オガワ,ヒロシ
小川弘文,オガワ ヒロフミ,オガワ,ヒロフミ
小川博文,オガワ ヒロフミ,オガワ,ヒロフミ
小川将俊,オガワ マサトシ,オガワ,マサトシ
小川宗直,オガワ ムネナオ,オガワ,ムネナオ
小川康雄,オガワ ヤスオ,オガワ,ヤスオ
小川泰弘,オガワ ヤスヒロ,オガワ,ヤスヒロ
小川裕介,オガワ ユウスケ,オガワ,ユウスケ
小川善治,オガワ ヨシハル,オガワ,ヨシハル
小川龍也,オガワ リュウヤ,オガワ,リュウヤ
沖克己,オキ カツミ,オキ,カツミ
沖実郎,オキ ジツオ,オキ,ジツオ
沖泰司,オキ ヤスシ,オキ,ヤスシ
荻孝雄,オギ タカオ,オギ,タカオ
荻島秀夫,オギシマ ヒデオ,オギシマ,ヒデオ
興津立雄（興津達雄）,オキツ タツオ,オキツ,タツオ
荻野一雄,オギノ カズオ,オギノ,カズオ
荻野貴司,オギノ タカシ,オギノ,タカシ
荻野貴幸,オギノ タカユキ,オギノ,タカユキ
荻野忠寛,オギノ タダヒロ,オギノ,タダヒロ
沖原佳典,オキハラ ヨシノリ,オキハラ,ヨシノリ
荻本伊三武,オギモト イサム,オギモト,イサム
沖山光利,オキヤマ テルトシ,オキヤマ,テルトシ
荻原修,オギワラ オサム,オギワラ,オサム
荻原隆,オギワラ タカシ,オギワラ,タカシ
荻原満,オギワラ ミツル,オギワラ,ミツル
奥井成一,オクイ シゲカズ,オクイ,シゲカズ
奥江英幸,オクエ ヒデユキ,オクエ,ヒデユキ
奥柿幸雄,オクガキ サチオ,オクガキ,サチオ
クリス・オクスプリング,オクスプリング,クリス
奥田元,オクダ ゲン,オクダ,ゲン
奥田敏輝,オクダ トシテル,オクダ,トシテル
奥田直也,オクダ ナオヤ,オクダ,ナオヤ
奥浪鏡,オクナミ キョウ,オクナミ,キョウ
奥原為雄,オクハラ タメオ,オクハラ,タメオ
小熊凌祐,オグマ リョウスケ,オグマ,リョウスケ
奥宮種男,オクミヤ タネオ,オクミヤ,タネオ
奥村高明,オクムラ タカアキ,オクムラ,タカアキ
奥村武博,オクムラ タケヒロ,オクムラ,タケヒロ
奥村展征,オクムラ ノブユキ,オクムラ,ノブユキ
奥村政稔,オクムラ マサト,オクムラ,マサト
小倉薫,オグラ カオル,オグラ,カオル
小椋真介,オグラ シンスケ,オグラ,シンスケ
小倉恒,オグラ ヒサシ,オグラ,ヒサシ
ベン・オグリビー,オグリビー,ベン
桶川隆,オケカワ タカシ,オケカワ,タカシ
淡河弘,オゴウ ヒロシ,オゴウ,ヒロシ
小郷裕哉,オゴウ ユウヤ,オゴウ,ユウヤ
オコエ瑠偉,オコエ ルイ,オコエ,ルイ
小坂勝仁,オサカ カツヒト,オサカ,カツヒト
尾崎亀重,オザキ カメジュウ,オザキ,カメジュウ
尾崎正司,オザキ マサシ,オザキ,マサシ
尾崎匡哉,オザキ マサヤ,オザキ,マサヤ
尾崎靖夫,オザキ ヤスオ,オザキ,ヤスオ
尾崎行雄,オザキ ユキオ,オザキ,ユキオ
尾崎律男,オザキ リツオ,オザキ,リツオ
長田克史,オサダ カツシ,オサダ,カツシ
長田秀一郎,オサダ シュウイチロウ,オサダ,シュウイチロウ
長田博幸,オサダ ヒロユキ,オサダ,ヒロユキ
長田裕之,オサダ ヒロユキ,オサダ,ヒロユキ
長田幸雄,オサダ ユキオ,オサダ,ユキオ
長内孝,オサナイ タカシ,オサナイ,タカシ
長利礼治,オサリ レイジ,オサリ,レイジ
小沢馨,オザワ カオル,オザワ,カオル
小沢浩一,オザワ コウイチ,オザワ,コウイチ
小沢重光,オザワ シゲミツ,オザワ,シゲミツ
小沢文夫,オザワ フミオ,オザワ,フミオ
小沢誠,オザワ マコト,オザワ,マコト
押尾健一,オシオ ケンイチ,オシオ,ケンイチ
押田令三,オシダ レイゾウ,オシダ,レイゾウ
小島和哉,オジマ カズヤ,オジマ,カズヤ
押本健彦,オシモト タケヒコ,オシモト,タケヒコ
小瀬浩之,オゼ ヒロユキ,オゼ,ヒロユキ
小関竜也,オゼキ タツヤ,オゼキ,タツヤ
ポール・オセゲラ,オセゲラ,ポール
小田喜美雄,オダ キミオ,オダ,キミオ
小田幸平,オダ コウヘイ,オダ,コウヘイ
小田真也,オダ シンヤ,オダ,シンヤ
小田智之,オダ トモユキ,オダ,トモユキ
小田英明,オダ ヒデアキ,オダ,ヒデアキ
織田光正,オダ ミツマサ,オダ,ミツマサ
小田裕也,オダ ユウヤ,オダ,ユウヤ
小田芳男,オダ ヨシオ,オダ,ヨシオ
小田義人,オダ ヨシト,オダ,ヨシト
小鷹卓也,オダカ タクヤ,オダカ,タクヤ
小田切茂造,オダギリ シゲゾウ,オダギリ,シゲゾウ
小田嶋正邦,オダジマ マサクニ,オダジマ,マサクニ
小田野柏,オダノ カシワ,オダノ,カシワ
越智大祐,オチ ダイスケ,オチ,ダイスケ
越智靖朗,オチ ヤスオ,オチ,ヤスオ
落合英二,オチアイ エイジ,オチアイ,エイジ
落合勤一,オチアイ キンイチ,オチアイ,キンイチ
落合博満,オチアイ ヒロミツ,オチアイ,ヒロミツ
アレックス・オチョア,オチョア,アレックス
音重鎮,オト シゲキ,オト,シゲキ
乙坂智,オトサカ トモ,オトサカ,トモ
尾仲祐哉,オナカ ユウヤ,オナカ,ユウヤ
マリオン・オニール,オニール,マリオン
鬼崎裕司,オニザキ ユウジ,オニザキ,ユウジ
尾西和夫,オニシ カズオ,オニシ,カズオ
尾西信一,オニシ シンイチ,オニシ,シンイチ
小野一也,オノ カズヤ,オノ,カズヤ
小野和幸,オノ カズユキ,オノ,カズユキ
小野和義,オノ カズヨシ,オノ,カズヨシ
小野剛,オノ ゴウ,オノ,ゴウ
小野幸一,オノ コウイチ,オノ,コウイチ
小野公誠,オノ コウセイ,オノ,コウセイ
小野淳平,オノ ジュンペイ,オノ,ジュンペイ
小野正一,オノ ショウイチ,オノ,ショウイチ
小野晋吾,オノ シンゴ,オノ,シンゴ
小野仁,オノ ヒトシ,オノ,ヒトシ
小野拓,オノ ヒロシ,オノ,ヒロシ
小野郁,オノ フミヤ,オノ,フミヤ
小野泰敏,オノ ヤストシ,オノ,ヤストシ
小野泰己,オノ タイキ,オノ,タイキ
尾上旭,オノウエ アキラ,オノウエ,アキラ
小野木孝,オノギ タカシ,オノギ,タカシ
小野坂清,オノサカ キヨシ,オノサカ,キヨシ
小野寺克男,オノデラ カツオ,オノデラ,カツオ
小野寺在二郎,オノデラ ザイジロウ,オノデラ,ザイジロウ
小野寺力,オノデラ チカラ,オノデラ,チカラ
小野寺洋,オノデラ ヒロシ,オノデラ,ヒロシ
小畑幸司,オバタ コウジ,オバタ,コウジ
小幡晴彦,オバタ ハルヒコ,オバタ,ハルヒコ
小幡竜平,オバタ リュウヘイ,オバタ,リュウヘイ
尾鼻晃吉,オバナ コウキチ,オバナ,コウキチ
尾花髙夫,オバナ タカオ,オバナ,タカオ
ウェス・オバミュラー,オバミュラー,ウェス
小原正行,オハラ マサユキ,オハラ,マサユキ
シャーマン・オバンドー,シャーマン・オバンドー ,オバンドー,シャーマン
ウィルフィン・オビスポ,オビスポ,ウィルフィン
アルビス・オヘイダ,オヘイダ,アルビス
於保浩己,オホ ヒロミ,オホ,ヒロミ
小俣進,オマタ ススム,オマタ,ススム
トーマス・オマリー,オマリー,トーマス
小美濃武芳,オミノ タケヨシ,オミノ,タケヨシ
尾茂田叶,オモダ カノ,オモダ,カノ
親富祖弘也,オヤフソ コウヤ,オヤフソ,コウヤ
小山桂司,オヤマ ケイジ,オヤマ,ケイジ
小山正,オヤマ タダシ,オヤマ,タダシ
尾山敦,オヤマ ツトム,オヤマ,ツトム
小山田健一,オヤマダ ケンイチ,オヤマダ,ケンイチ
小山田貴雄,オヤマダ タカオ,オヤマダ,タカオ
小山田保裕,オヤマダ ヤスヒロ ,オヤマダ,ヤスヒロ
折下光輝,オリシタ コウキ,オリシタ,コウキ
織田淳哉,オリタ ジュンヤ,オリタ,ジュンヤ
織辺由三,オリベ ヨシゾウ,オリベ,ヨシゾウ
リチャード・オルセン,オルセン,リチャード
ルイス・オルティス,オルティス,ルイス
ラモン・オルティズ,オルティズ,ラモン
ダグ・オルト,オルト,ダグ
マイケル・オルムステッド,オルムステッド,マイケル
エドガー・オルモス,オルモス,エドガー
ラファエル・オレラーノ,オレラーノ,ラファエル
スティーブ・オンティベロス,オンティベロス,スティーブ
ローガン・オンドルセック,オンドルセック,ローガン
本間鉄和,ホンマ テツカズ,オンマ,テツカズ
キラ・カアイフエ,カアイフエ,キラ
ウィリー・カークランド,カークランド,ウィリー
アンソニー・カーター,カーター,アンソニー
クリス・カーター,カーター,クリス
ランス・カーター,ランス・カーター ,カーター,ランス
アート・ガードナー,ガードナー,アート
クリス・カーペンター,カーペンター,クリス
バディ・カーライル,カーライル,バディ
ダン・カールソン,カールソン,ダン
甲斐和雄,カイ カズオ,カイ,カズオ
甲斐拓哉,カイ タクヤ,カイ,タクヤ
拓也（甲斐拓也）,タクヤ,カイ タクヤ,カイ
甲斐友治,カイ トモハル,カイ,トモハル
甲斐雅人,カイ マサヒト,カイ,マサヒト
甲斐雄平,カイ ユウヘイ,カイ,ユウヘイ
アーロン・ガイエル,ガイエル,アーロン
海蔵寺弘司,カイゾウジ コウジ,カイゾウジ,コウジ
海田智行,カイダ トモユキ,カイダ,トモユキ
貝塚博次,カイヅカ ヒロジ,カイヅカ,ヒロジ
貝塚政秀,カイヅカ マサヒデ,カイヅカ,マサヒデ
甲斐野央,カイノ ヒロシ,カイノ,ヒロシ
戒能朶一,カイノウ ダイチ,カイノウ,ダイチ
海部和夫,カイベ カズオ,カイベ,カズオ
レオ・カイリー,カイリー,レオ
加奥隆三,カオク リュウゾウ,カオク,リュウゾウ
加賀繁,カガ シゲル,カガ,シゲル
向井嘉久蔵,カカイ キクゾウ,カカイ,キクゾウ
加賀美希昇,カガミ キショウ,カガミ,キショウ
香川正,カガワ タダシ,カガワ,タダシ
香川伸行,カガワ ノブユキ,カガワ,ノブユキ
香川秀光,カガワ ヒデミツ,カガワ,ヒデミツ
香川正人,カガワ マサト,カガワ,マサト
垣内哲也,カキウチ テツヤ,カキウチ,テツヤ
柿木蓮,カキギ レン,カキギ,レン
垣越建伸,カキゴシ ケンシン,カキゴシ,ケンシン
柿崎幸男,カキザキ ユキオ,カキザキ,ユキオ
柿沢貴裕,カキザワ タカヒロ,カキザワ,タカヒロ
柿田裕太,カキタ ユウタ,カキタ,ユウタ
鍵谷康司,カギタニ コウジ,カギタニ,コウジ
柿沼友哉,カキヌマ トモヤ,カキヌマ,トモヤ
柿木映二,カキノキ エイジ,カキノキ,エイジ
柿原翔樹,カキハラ ショウキ,カキハラ,ショウキ
柿本実,カキモト ミノル,カキモト,ミノル
鍵谷陽平,カギヤ ヨウヘイ,カギヤ,ヨウヘイ
郭源治,カク ゲンジ,カク,ゲンジ
郭建成,カク ケンセイ,カク,ケンセイ
郭俊麟,カク シュンリン,カク,シュンリン
郭泰源,カク タイゲン,カク,タイゲン
覚前昌也,カクゼン マサヤ,カクゼン,マサヤ
角中勝也,カクナカ カツヤ,カクナカ,カツヤ
加倉一馬,カクラ カズマ,カクラ,カズマ
加倉井実,カクライ ミノル,カクライ,ミノル
郭李建夫,カクリ タテオ,カクリ,タテオ
筧文夫,カケイ フミオ,カケイ,フミオ
筧裕次郎,カケイ ユウジロウ,カケイ,ユウジロウ
景浦賢一,カゲウラ ケンイチ,カゲウラ,ケンイチ
景浦將,カゲウラ マサル,カゲウラ,マサル
欠端光則,カケハタ ミツノリ,カケハタ,ミツノリ
掛布雅之,カケフ マサユキ,カケフ,マサユキ
蔭山和夫,カゲヤマ カズオ,カゲヤマ,カズオ
加古安宏,カコ ヤスヒロ,カコ,ヤスヒロ
栫政彦,カコイ マサヒコ,カコイ,マサヒコ
葛西稔,カサイ ミノル,カサイ,ミノル
笠井崇正,カサイ タカマサ,カサイ,タカマサ
笠井駿,カサイ シュン,カサイ,シュン
笠石徳五郎,カサイシ トクゴロウ,カサイシ,トクゴロウ
